UNIVERSE BENCHMARK OVER 7 DAYS, every venue on chain, 167 hours to 2026-08-30T10:00:00+00:00
session days covered: CLOSED 4, OPEN 5, OVERNIGHT 5
Depth is NOT available at this horizon. Fees in pips, APR LP-net.

asset    session      hrs  venues        mkt vol$  mkt fee  our fee  x mkt  mkt APR%  our APR%  x mkt   share%    tvl%
SPY      ALL          167       9      59,984,468    1,167      304   0.26      59.3      18.0   0.30    8.76%    9.0%
SPY      OPEN          35       8      12,164,865    1,282      528   0.41      63.1      14.4   0.23    4.15%    9.0%
SPY      OVERNIGHT     77       8      15,580,774    1,260      350   0.28      36.3      12.1   0.33    9.08%    9.0%
SPY      CLOSED        55       9      32,238,829    1,079      250   0.23      89.2      28.6   0.32   10.34%    9.0%

NVDA     ALL          167      19     236,480,957      845      643   0.76     113.4      54.5   0.48    0.21%    0.4%
NVDA     OPEN          35      16      86,700,772      673    1,377   2.05     150.3     143.2   0.95    0.15%    0.4%
NVDA     OVERNIGHT     77      17     107,212,624    1,091      417   0.38     150.1      43.3   0.29    0.26%    0.4%
NVDA     CLOSED        55      14      42,567,561      574      300   0.52      38.4      13.6   0.35    0.20%    0.4%

META     ALL          167       7       1,725,143    2,933      396   0.14     181.2      21.5   0.12   15.70%   20.7%
META     OPEN          35       6         415,560    2,659      579   0.22     189.4      57.5   0.30   24.97%   20.7%
META     OVERNIGHT     77       7         390,481    2,989      361   0.12      90.1       7.7   0.09   12.63%   20.7%
META     CLOSED        55       6         919,102    3,033      250   0.08     303.3      17.9   0.06   12.81%   20.7%

GLD      ALL          167      20      31,812,152    3,937    1,135   0.29    1683.4    1141.3   0.68   20.73%   10.4%
GLD      OPEN          35       7       2,197,620    2,222    1,065   0.48     312.8     291.8   0.93   17.14%   10.4%
GLD      OVERNIGHT     77       7       1,561,929    2,584      392   0.15     117.5      67.5   0.57   33.30%   10.4%
GLD      CLOSED        55      20      28,052,602    4,147    1,207   0.29    4747.8    3185.3   0.67   20.31%   10.4%

ETH      ALL          167      15   1,358,385,815      144      776   5.37      44.6      27.8   0.62    0.52%    5.9%
ETH      OPEN          35      13     417,483,831      146    1,493  10.21      66.4      53.0   0.80    0.35%    5.9%
ETH      OVERNIGHT     77      13     506,833,231      146      736   5.03      36.6      21.1   0.58    0.52%    5.9%
ETH      CLOSED        55      15     434,068,753      140      460   3.27      41.9      21.2   0.51    0.70%    5.9%

TSLA     ALL          167      10       3,933,630    3,299      832   0.25     142.2      11.5   0.08    0.15%    0.5%
TSLA     OPEN          35       9       1,073,013    3,267    1,486   0.45     183.3      35.0   0.19    0.20%    0.5%
TSLA     OVERNIGHT     77       9       1,604,682    3,360      531   0.16     128.2       5.1   0.04    0.12%    0.5%
TSLA     CLOSED        55       9       1,255,936    3,247      408   0.13     135.7       5.5   0.04    0.15%    0.5%

AAPL     ALL          167      13      12,131,145    1,377      335   0.24     110.3      22.4   0.20    0.45%    0.5%
AAPL     OPEN          35      13       3,781,745    1,539      490   0.32     183.4      22.3   0.12    0.20%    0.5%
AAPL     OVERNIGHT     77      11       3,144,474    1,415      350   0.25      63.7       8.1   0.13    0.28%    0.5%
AAPL     CLOSED        55      11       5,204,927    1,236      300   0.24     129.0      42.4   0.33    0.73%    0.5%

NVDA/SPY ALL          167       3       4,031,108      620      390   0.63      49.8       2.7   0.05    0.14%    1.7%
NVDA/SPY OPEN          35       3       1,374,465      619      495   0.80      80.8       5.3   0.07    0.14%    1.7%
NVDA/SPY OVERNIGHT     77       3       1,801,625      620      350   0.56      48.2       2.7   0.06    0.17%    1.7%
NVDA/SPY CLOSED        55       3         855,018      623      300   0.48      32.2       0.9   0.03    0.10%    1.7%

GLD/SPY  ALL          167       1           3,828      346      346   1.00       6.5       6.5   1.00  100.00%  100.0%
GLD/SPY  OPEN          35       1             700      496      496   1.00       8.1       8.1   1.00  100.00%  100.0%
GLD/SPY  OVERNIGHT     77       1             798      350      350   1.00       3.0       3.0   1.00  100.00%  100.0%
GLD/SPY  CLOSED        55       1           2,330      300      300   1.00      10.4      10.4   1.00  100.00%  100.0%

